Park,Prov/State,Country,Adults,Child,partySize,Booking Type,RateType,Equipment,BookingStartDate,BookingEnddate,Camper Nights,Permits
Caribou Munroes,NS,CANADA,4,,4,CampsitePermit,Full,Tents,07/25/2013,07/29/2013,4,1
Rissers Beach,NS,CANADA,4,2,6,CampsitePermit,Full,Less than 20ft,06/21/2013,06/23/2013,2,1
Laurie,NS,CANADA,6,,6,CampsitePermit,Full,Tents,07/12/2013,07/14/2013,2,1
The Islands,NS,CANADA,2,,2,CampsitePermit,Senior,Less than 20ft,07/22/2013,07/24/2013,2,1
Caribou Munroes,NS,CANADA,2,,2,CampsitePermit,Senior,Less than 30ft,09/05/2013,09/06/2013,1,1
Blomidon,NS,CANADA,4,,4,CampsitePermit,Full,Tents,08/24/2013,08/25/2013,1,1
Blomidon,NS,CANADA,2,,2,CampsitePermit,Senior,Less than 30ft,08/13/2013,08/14/2013,1,1
Amherst Shore,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,07/05/2013,07/07/2013,2,1
Rissers Beach,ON,CANADA,2,,2,CampsitePermit,Full,Single Tent,07/29/2013,07/31/2013,2,1
Rissers Beach,ON,CANADA,2,,2,CampsitePermit,Full,Single Tent,07/31/2013,08/02/2013,2,1
Rissers Beach,NS,CANADA,2,1,3,CampsitePermit,Full,Less than 30ft,08/15/2013,08/27/2013,12,1
Battery,NS,CANADA,2,2,4,CampsitePermit,Full,Less than 20ft,08/21/2013,08/22/2013,1,1
Amherst Shore,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,07/21/2013,07/22/2013,1,1
Mira River,NS,CANADA,2,2,4,CampsitePermit,Full,Tents,08/30/2013,09/02/2013,3,1
Smileys,NB,CANADA,2,,2,CampsitePermit,Full,Tents,07/06/2013,07/07/2013,1,1
Ellenwood Lake,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,06/25/2013,06/26/2013,1,1
Blomidon,NS,CANADA,1,,1,CampsitePermit,Full,Single Tent,07/14/2013,07/17/2013,3,1
Laurie,NS,CANADA,4,,4,CampsitePermit,Full,Tents,07/02/2013,07/03/2013,1,1
Laurie,NS,CANADA,2,2,4,CampsitePermit,Full,Less than 20ft,06/26/2013,06/27/2013,1,1
Porters Lake,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,07/27/2013,07/28/2013,1,1
Thomas Raddall,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,05/31/2013,06/02/2013,2,1
Caribou Munroes,NS,CANADA,2,3,5,CampsitePermit,Full,Less than 30ft,08/16/2013,08/18/2013,2,1
Rissers Beach,NS,CANADA,2,,2,CampsitePermit,Senior,Less than 30ft,06/02/2013,06/06/2013,4,1
Dollar Lake,NS,CANADA,4,2,6,CampsitePermit,Full,Single Tent,07/27/2013,07/28/2013,1,1
Dollar Lake,NS,CANADA,4,2,6,CampsitePermit,Full,Single Tent,07/27/2013,07/28/2013,1,1
Laurie,NS,CANADA,2,2,4,CampsitePermit,Full,Single Tent,08/16/2013,08/18/2013,2,1
Smileys,NS,CANADA,2,3,5,CampsitePermit,Full,Less than 30ft,06/14/2013,06/16/2013,2,1
Laurie,NS,CANADA,2,3,5,CampsitePermit,Full,Tents,07/04/2013,07/07/2013,3,1
Blomidon,NS,CANADA,2,2,4,CampsitePermit,Full,Tents,08/23/2013,08/25/2013,2,1
Cape Chignecto,NS,CANADA,1,,1,CampsitePermit,Full,Single Tent,06/06/2013,06/09/2013,3,1
Caribou Munroes,NS,CANADA,2,1,3,CampsitePermit,Full,Single Tent,08/21/2013,08/23/2013,2,1
Amherst Shore,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,08/09/2013,08/11/2013,2,1
