Park,State,Country,Adult,Child,PartySize,Booking Type,RateType,Equipment,BookingStartDate,BookingEndDate,Camper nights,Permits
Blomidon,NS ,CANADA ,2,3,5,CampsitePermit,Full,Less than 20ft,07/31/2014,08/03/2014,3,1
Porters Lake,QC ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/14/2014,08/15/2014,1,1
Smileys,NS ,CANADA ,3,,3,CampsitePermit,Senior,Single Tent,08/22/2014,08/24/2014,2,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,06/13/2014,06/15/2014,2,1
Porters Lake,NS ,CANADA ,6,,6,CampsitePermit,Full,Tents,06/30/2014,07/02/2014,2,1
Battery,BC ,CANADA ,2,,2,CampsitePermit,Full,Less than 40ft,07/20/2014,07/21/2014,1,1
Mira River,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,06/27/2014,06/29/2014,2,1
Laurie,NS ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,07/01/2014,07/04/2014,3,1
Blomidon,NS ,CANADA ,4,,4,CampsitePermit,Full,Tents,08/30/2014,08/31/2014,1,1
Mira River,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/20/2014,07/25/2014,5,1
Rissers Beach,NS ,CANADA ,1,,1,CampsitePermit,Full,Less than 30ft,10/12/2014,10/13/2014,1,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,06/27/2014,06/30/2014,3,1
Rissers Beach,NS ,CANADA ,3,3,6,CampsitePermit,Full,Single Tent,06/30/2014,07/02/2014,2,1
Porters Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,08/21/2014,08/22/2014,1,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,07/23/2014,07/26/2014,3,1
Whycocomagh,ON ,CANADA ,2,,2,CampsitePermit,Senior,Single Tent,07/23/2014,07/25/2014,2,1
Rissers Beach,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,06/30/2014,07/02/2014,2,1
Caribou Munroes,NS ,CANADA ,4,2,6,CampsitePermit,Full,Tents,07/25/2014,07/27/2014,2,1
Porters Lake,PA ,USA ,1,,1,CampsitePermit,Senior,Less than 30ft,09/17/2014,09/18/2014,1,1
Battery,GERMANY ,OTHER,2,,2,CampsitePermit,Full,Less than 30ft,06/13/2014,06/14/2014,1,1
Graves Island,NB ,CANADA ,3,2,5,CampsitePermit,Full,Single Tent,08/12/2014,08/14/2014,2,1
Salsman,NS ,CANADA ,3,,3,CampsitePermit,Full,Less than 30ft,08/29/2014,08/31/2014,2,1
Smileys,NB ,CANADA ,2,,2,CampsitePermit,Senior,Single Tent,08/16/2014,08/17/2014,1,1
Laurie,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,09/02/2014,09/05/2014,3,1
Salsman,NS ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,07/30/2014,07/31/2014,1,1
Rissers Beach,NS ,CANADA ,6,0,6,CampsitePermit,Full,Tents,09/26/2014,09/28/2014,2,1
Amherst Shore,NB ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,07/11/2014,07/13/2014,2,1
Cape Chignecto,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/22/2014,08/23/2014,1,1
Battery,SK ,CANADA ,4,,4,CampsitePermit,Full,Less than 30ft,08/04/2014,08/05/2014,1,1
Amherst Shore,NS ,CANADA ,2,,2,CampsitePermit,Senior,Single Tent,07/13/2014,07/16/2014,3,1
Laurie,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,06/20/2014,06/22/2014,2,1
Smileys,NS ,CANADA ,5,,5,CampsitePermit,Full,Tents,08/16/2014,08/17/2014,1,1
Graves Island,SWITZERLAND  ,OTHER,2,,2,CampsitePermit,Full,Single Tent,08/04/2014,08/05/2014,1,1
Mira River,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,08/17/2014,08/18/2014,1,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/11/2014,07/12/2014,1,1
Mira River,PA ,USA ,2,,2,CampsitePermit,Senior,Less than 30ft,08/30/2014,09/01/2014,2,1
Whycocomagh,QC ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,07/24/2014,07/25/2014,1,1
Porters Lake,PA ,USA ,2,,2,CampsitePermit,Senior,Less than 20ft,08/30/2014,08/31/2014,1,1
Valleyview,NS ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,09/01/2014,09/03/2014,2,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/01/2014,08/04/2014,3,1
Graves Island,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,07/11/2014,07/12/2014,1,1
Boylston,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/01/2014,08/02/2014,1,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/11/2014,08/13/2014,2,1
Dollar Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/29/2014,09/01/2014,3,1
Laurie,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,08/30/2014,09/01/2014,2,1
Five Islands,GERMANY ,OTHER,2,2,4,CampsitePermit,Full,Less than 20ft,08/23/2014,08/24/2014,1,1
Rissers Beach,GERMANY ,OTHER,2,,2,CampsitePermit,Full,Less than 20ft,09/04/2014,09/05/2014,1,1
Graves Island,NS ,CANADA ,3,,3,CampsitePermit,Full,Less than 40ft,08/02/2014,08/05/2014,3,1
Valleyview,LA ,USA ,1,1,2,CampsitePermit,Full,Single Tent,08/04/2014,08/05/2014,1,1
Caribou Munroes,NS ,CANADA ,2,,6,CampsitePermit,Full,Tents,06/13/2014,06/15/2014,2,1
Rissers Beach,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,07/18/2014,07/20/2014,2,1
Caribou Munroes,GERMANY ,OTHER,2,,2,CampsitePermit,Full,Single Tent,09/21/2014,09/22/2014,1,1
Rissers Beach,PA ,USA ,2,1,3,CampsitePermit,Full,Tents,09/03/2014,09/05/2014,2,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,05/16/2014,05/17/2014,1,1
Smileys,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 40ft,06/27/2014,07/01/2014,4,1
Rissers Beach,NS ,CANADA ,2,4,6,CampsitePermit,Full,Tents,08/13/2014,08/14/2014,1,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,09/05/2014,09/07/2014,2,1
Thomas Raddall,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 20ft,06/27/2014,06/29/2014,2,1
Graves Island,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 40ft,06/20/2014,06/22/2014,2,1
Whycocomagh,QC ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,08/07/2014,08/08/2014,1,1
Graves Island,NS ,CANADA ,4,,4,CampsitePermit,Senior,Less than 30ft,08/27/2014,09/01/2014,5,1
Five Islands,HI ,USA ,2,,2,CampsitePermit,Full,Less than 20ft,08/29/2014,08/31/2014,2,1
Whycocomagh,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,09/07/2014,09/08/2014,1,1
Thomas Raddall,QC ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/28/2014,08/30/2014,2,1
Laurie,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,06/24/2014,06/26/2014,2,1
Caribou Munroes,NS ,CANADA ,2,4,6,CampsitePermit,Full,Tents,08/21/2014,08/24/2014,3,1
Ellenwood Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,08/28/2014,08/31/2014,3,1
Whycocomagh,QC ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/27/2014,07/28/2014,1,1
Laurie,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,07/11/2014,07/12/2014,1,1
Smileys,NS ,CANADA ,1,,1,CampsitePermit,Senior,Less than 20ft,08/08/2014,08/10/2014,2,1
Dollar Lake,NS ,CANADA ,2,3,5,CampsitePermit,Full,Single Tent,08/01/2014,08/04/2014,3,1
Amherst Shore,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,08/24/2014,08/26/2014,2,1
Porters Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,07/11/2014,07/13/2014,2,1
Graves Island,QC ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,07/21/2014,07/25/2014,4,1
Caribou Munroes,NS ,CANADA ,2,2,4,CampsitePermit,Full,Tents,08/12/2014,08/14/2014,2,1
Amherst Shore,NB ,CANADA ,2,2,4,CampsitePermit,Full,Less than 40ft,07/25/2014,07/27/2014,2,1
Rissers Beach,NS ,CANADA ,2,4,6,CampsitePermit,Full,Tents,08/10/2014,08/14/2014,4,1
Five Islands,ON ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/14/2014,07/16/2014,2,1
Smileys,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 30ft,08/30/2014,09/01/2014,2,1
Dollar Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,07/11/2014,07/13/2014,2,1
Caribou Munroes,NJ ,USA ,2,,2,CampsitePermit,Full,Less than 40ft,08/16/2014,08/17/2014,1,1
Whycocomagh,PA ,USA ,2,,2,CampsitePermit,Full,Single Tent,08/12/2014,08/13/2014,1,1
Blomidon,QC ,CANADA ,1,1,2,CampsitePermit,Full,Single Tent,08/27/2014,08/28/2014,1,1
Battery,ON ,CANADA ,3,,3,CampsitePermit,Full,Tents,08/24/2014,08/25/2014,1,1
Cape Chignecto,NB ,CANADA ,1,2,3,CampsitePermit,Full,Single Tent,08/11/2014,08/15/2014,4,1
Battery,BC ,CANADA ,2,,2,CampsitePermit,Senior,Greater than 40ft,09/29/2014,09/30/2014,1,1
Ellenwood Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,06/20/2014,06/22/2014,2,1
Dollar Lake,NS ,CANADA ,2,3,5,CampsitePermit,Full,Less than 20ft,06/27/2014,06/29/2014,2,1
Dollar Lake,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,08/19/2014,08/20/2014,1,1
The Islands,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,06/27/2014,07/04/2014,7,1
Caribou Munroes,QC ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/21/2014,07/22/2014,1,1
Mira River,BC ,CANADA ,3,,3,CampsitePermit,Full,Less than 20ft,08/10/2014,08/11/2014,1,1
Dollar Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,08/11/2014,08/13/2014,2,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/08/2014,08/10/2014,2,1
Thomas Raddall,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/08/2014,08/11/2014,3,1
Cape Chignecto,NS ,CANADA ,4,,4,CampsitePermit,Full,Single Tent,06/27/2014,06/28/2014,1,1
Porters Lake,NS ,CANADA ,3,,3,CampsitePermit,Full,Less than 20ft,08/21/2014,08/25/2014,4,1
Amherst Shore,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,09/26/2014,09/27/2014,1,1
Dollar Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/07/2014,07/10/2014,3,1
Amherst Shore,PA ,USA ,2,,2,CampsitePermit,Full,Less than 30ft,07/09/2014,07/10/2014,1,1
Caribou Munroes,NS ,CANADA ,2,1,3,CampsitePermit,Full,Tents,08/08/2014,08/10/2014,2,1
Mira River,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,07/11/2014,07/13/2014,2,1
Five Islands,NB ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,09/06/2014,09/07/2014,1,1
Porters Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,08/01/2014,08/04/2014,3,1
Dollar Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,07/29/2014,08/01/2014,3,1
Blomidon,SWITZERLAND  ,OTHER,2,,2,CampsitePermit,Full,Less than 20ft,08/28/2014,08/29/2014,1,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,08/29/2014,09/03/2014,5,1
Mira River,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 40ft,07/08/2014,07/11/2014,3,1
Valleyview,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/02/2014,08/04/2014,2,1
Cape Chignecto,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,09/02/2014,09/06/2014,4,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,06/10/2014,06/13/2014,3,1
Dollar Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Tents,06/27/2014,07/01/2014,4,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 40ft,07/25/2014,07/28/2014,3,1
Ellenwood Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/21/2014,08/24/2014,3,1
Amherst Shore,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/01/2014,07/02/2014,1,1
Blomidon,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/20/2014,08/23/2014,3,1
Cape Chignecto,PA ,USA ,2,3,5,CampsitePermit,Full,Single Tent,08/02/2014,08/06/2014,4,1
Porters Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,06/07/2014,06/08/2014,1,1
Laurie,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,08/29/2014,09/01/2014,3,1
Laurie,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/25/2014,07/28/2014,3,1
Porters Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,10/10/2014,10/13/2014,3,1
Thomas Raddall,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,05/16/2014,05/19/2014,3,1
Amherst Shore,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/07/2014,08/09/2014,2,1
Caribou Munroes,NS ,CANADA ,4,2,6,CampsitePermit,Full,Tents,07/18/2014,07/20/2014,2,1
Five Islands,QC ,CANADA ,1,1,2,CampsitePermit,Full,Single Tent,08/22/2014,08/23/2014,1,1
Rissers Beach,NS ,CANADA ,1,1,2,CampsitePermit,Full,Single Tent,07/18/2014,07/27/2014,9,1
Graves Island,NS ,CANADA ,4,,4,CampsitePermit,Senior,Less than 30ft,08/18/2014,08/20/2014,2,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,06/13/2014,06/15/2014,2,1
Thomas Raddall,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,06/30/2014,07/01/2014,1,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 40ft,09/19/2014,09/21/2014,2,1
Laurie,NH ,USA ,1,,1,CampsitePermit,Full,Single Tent,08/16/2014,08/17/2014,1,1
Battery,QC ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/24/2014,07/25/2014,1,1
Blomidon,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,06/27/2014,06/29/2014,2,1
Amherst Shore,ON ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/25/2014,08/26/2014,1,1
Laurie,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,09/05/2014,09/07/2014,2,1
Laurie,NS ,CANADA ,2,2,4,CampsitePermit,Full,Tents,08/11/2014,08/13/2014,2,1
Porters Lake,NS ,CANADA ,4,,4,CampsitePermit,Full,Tents,08/02/2014,08/05/2014,3,1
Whycocomagh,ID ,USA ,2,,2,CampsitePermit,Senior,Less than 30ft,08/08/2014,08/10/2014,2,1
Dollar Lake,NS ,CANADA ,1,,1,CampsitePermit,Full,Tents,07/25/2014,07/27/2014,2,1
Graves Island,GERMANY ,OTHER,1,,1,CampsitePermit,Full,Single Tent,06/08/2014,06/09/2014,1,1
Amherst Shore,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,06/13/2014,06/15/2014,2,1
Amherst Shore,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,06/28/2014,07/01/2014,3,1
Rissers Beach,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,08/03/2014,08/05/2014,2,1
Smileys,NS ,CANADA ,4,,4,CampsitePermit,Full,Tents,07/26/2014,07/27/2014,1,1
Laurie,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,06/27/2014,07/01/2014,4,1
Caribou Munroes,NS ,CANADA ,2,3,5,CampsitePermit,Full,Less than 30ft,07/09/2014,07/11/2014,2,1
Rissers Beach,NS  ,CANADA ,2,2,4,CampsitePermit,Full,Less than 40ft,06/20/2014,06/22/2014,2,1
Caribou Munroes,QC ,CANADA ,2,3,5,CampsitePermit,Full,Less than 30ft,07/27/2014,07/28/2014,1,1
Graves Island,QC ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,08/04/2014,08/11/2014,7,1
Boylston,NS ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,06/24/2014,06/25/2014,1,1
Thomas Raddall,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,08/23/2014,08/25/2014,2,1
Porters Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 40ft,07/25/2014,07/28/2014,3,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/03/2014,08/04/2014,1,1
Porters Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 40ft,05/16/2014,05/19/2014,3,1
Dollar Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Tents,07/11/2014,07/12/2014,1,1
Laurie,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/08/2014,08/09/2014,1,1
Whycocomagh,SWITZERLAND  ,OTHER,2,,2,CampsitePermit,Full,Less than 20ft,10/10/2014,10/11/2014,1,1
Laurie,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,07/25/2014,07/27/2014,2,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,09/05/2014,09/07/2014,2,1
Dollar Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,06/27/2014,06/28/2014,1,1
Caribou Munroes,NS ,CANADA ,4,2,6,CampsitePermit,Full,Less than 30ft,08/14/2014,08/20/2014,6,1
Dollar Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/21/2014,07/25/2014,4,1
Rissers Beach,QC ,CANADA ,2,1,3,CampsitePermit,Full,Less than 30ft,07/22/2014,07/24/2014,2,1
Five Islands,NJ ,USA ,2,,2,CampsitePermit,Full,Single Tent,07/15/2014,07/16/2014,1,1
The Islands,VT ,USA ,2,,2,CampsitePermit,Senior,Single Tent,07/09/2014,07/10/2014,1,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,05/30/2014,06/01/2014,2,1
Graves Island,NS ,CANADA ,2,2,4,CampsitePermit,Full,Tents,08/09/2014,08/10/2014,1,1
Amherst Shore,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,08/15/2014,08/17/2014,2,1
Amherst Shore,ME ,USA ,1,,1,CampsitePermit,Full,Single Tent,07/28/2014,07/29/2014,1,1
Porters Lake,QC ,CANADA ,2,1,3,CampsitePermit,Full,Less than 30ft,08/13/2014,08/14/2014,1,1
Rissers Beach,NS ,CANADA ,2,0,2,CampsitePermit,Full,Less than 30ft,08/08/2014,08/10/2014,2,1
Salsman,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,06/29/2014,07/04/2014,5,1
Smileys,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,06/20/2014,06/22/2014,2,1
Caribou Munroes,NS ,CANADA ,4,,4,CampsitePermit,Full,Less than 20ft,09/12/2014,09/14/2014,2,1
Rissers Beach,NS ,CANADA ,4,,4,CampsitePermit,Full,Single Tent,08/02/2014,08/04/2014,2,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,08/11/2014,08/14/2014,3,1
Rissers Beach,AB ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/15/2014,07/16/2014,1,1
Caribou Munroes,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 30ft,07/19/2014,07/20/2014,1,1
Rissers Beach,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,07/18/2014,07/19/2014,1,1
The Islands,NB ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/09/2014,08/13/2014,4,1
Porters Lake,NS ,CANADA ,3,,3,CampsitePermit,Full,Tents,07/08/2014,07/09/2014,1,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,08/10/2014,08/15/2014,5,1
Mira River,NS ,CANADA ,7,,7,CampsitePermit,Full,Single Tent,08/15/2014,08/16/2014,1,1
Dollar Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/11/2014,08/12/2014,1,1
Thomas Raddall,NS ,CANADA ,4,,4,CampsitePermit,Full,Less than 20ft,08/24/2014,08/28/2014,4,1
Blomidon,ON ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/24/2014,07/25/2014,1,1
Caribou Munroes,PE ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/09/2014,08/10/2014,1,1
Battery,PA ,USA ,2,,2,CampsitePermit,Senior,Less than 30ft,08/29/2014,08/30/2014,1,1
Whycocomagh,NS ,CANADA ,3,,3,CampsitePermit,Full,Single Tent,07/24/2014,07/27/2014,3,1
Laurie,NS ,CANADA ,1,2,3,CampsitePermit,Full,Single Tent,06/27/2014,06/29/2014,2,1
Laurie,ON ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,07/22/2014,07/23/2014,1,1
Salsman,NS ,CANADA ,2,,2,CampsitePermit,Full,Tents,08/01/2014,08/04/2014,3,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/21/2014,07/25/2014,4,1
Caribou Munroes,NS ,CANADA ,3,,3,CampsitePermit,Senior,Less than 30ft,08/26/2014,08/28/2014,2,1
Smileys,NS ,CANADA ,2,,2,CampsitePermit,Host,Less than 30ft,08/31/2014,09/14/2014,14,1
Blomidon,NS ,CANADA ,4,,4,CampsitePermit,Full,Single Tent,08/08/2014,08/09/2014,1,1
Five Islands,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,08/05/2014,08/06/2014,1,1
Rissers Beach,NS ,CANADA ,2,3,5,CampsitePermit,Full,Less than 30ft,09/19/2014,09/21/2014,2,1
Cape Chignecto,NB ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/28/2014,07/29/2014,1,1
Dollar Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/01/2014,08/03/2014,2,1
Caribou Munroes,AB ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,06/20/2014,06/21/2014,1,1
Caribou Munroes,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,08/04/2014,08/08/2014,4,1
Smileys,NS ,CANADA ,2,3,5,CampsitePermit,Full,Less than 30ft,07/11/2014,07/13/2014,2,1
Valleyview,NL ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/26/2014,07/28/2014,2,1
Boylston,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/01/2014,08/03/2014,2,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/29/2014,09/01/2014,3,1
Thomas Raddall,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,08/08/2014,08/10/2014,2,1
Dollar Lake,NS ,CANADA ,1,1,2,CampsitePermit,Full,Single Tent,08/02/2014,08/05/2014,3,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,06/27/2014,07/01/2014,4,1
Graves Island,ON ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,08/08/2014,08/09/2014,1,1
Mira River,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/29/2014,07/31/2014,2,1
Thomas Raddall,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/16/2014,08/21/2014,5,1
Graves Island,NS ,CANADA ,6,,6,CampsitePermit,Full,Tents,08/12/2014,08/17/2014,5,1
Graves Island,NS ,CANADA ,2,3,5,CampsitePermit,Full,Less than 30ft,08/22/2014,08/24/2014,2,1
Dollar Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,06/28/2014,06/29/2014,1,1
Battery,PE ,CANADA ,2,,2,CampsitePermit,Senior,Single Tent,08/04/2014,08/05/2014,1,1
Amherst Shore,NS ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,08/19/2014,08/23/2014,4,1
Boylston,GERMANY ,OTHER,1,,1,CampsitePermit,Full,Less than 20ft,08/09/2014,08/10/2014,1,1
Laurie,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/16/2014,08/17/2014,1,1
Mira River,ON ,CANADA ,2,4,6,CampsitePermit,Full,Tents,08/05/2014,08/06/2014,1,1
Porters Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,08/22/2014,08/24/2014,2,1
Ellenwood Lake,PA ,USA ,2,,2,CampsitePermit,Full,Less than 30ft,08/01/2014,08/02/2014,1,1
Caribou Munroes,NS ,CANADA ,1,1,2,CampsitePermit,Full,Single Tent,07/20/2014,07/21/2014,1,1
Thomas Raddall,NS ,CANADA ,2,3,5,CampsitePermit,Full,Tents,06/28/2014,07/01/2014,3,1
Graves Island,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/11/2014,07/12/2014,1,1
Blomidon,NS ,CANADA ,3,,3,CampsitePermit,Full,Less than 40ft,08/04/2014,08/09/2014,5,1
Laurie,QC ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,08/13/2014,08/15/2014,2,1
Graves Island,ON ,CANADA ,4,,4,CampsitePermit,Full,Less than 40ft,08/11/2014,08/14/2014,3,1
Porters Lake,GERMANY ,OTHER,2,,2,CampsitePermit,Full,Less than 30ft,06/19/2014,06/20/2014,1,1
Five Islands,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/21/2014,08/22/2014,1,1
Dollar Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,08/22/2014,08/24/2014,2,1
Mira River,BC ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/15/2014,07/16/2014,1,1
Porters Lake,NS ,CANADA ,2,4,6,CampsitePermit,Full,Less than 20ft,08/05/2014,08/08/2014,3,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,05/16/2014,05/19/2014,3,1
Graves Island,ON ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,06/27/2014,06/28/2014,1,1
Graves Island,GERMANY ,OTHER,2,2,4,CampsitePermit,Full,Less than 20ft,08/24/2014,08/25/2014,1,1
Laurie,NS ,CANADA ,4,,4,CampsitePermit,Full,Single Tent,08/30/2014,08/31/2014,1,1
Porters Lake,NL ,CANADA ,2,,2,CampsitePermit,Senior,Less than 30ft,08/01/2014,08/02/2014,1,1
Caribou Munroes,QC ,CANADA ,2,2,4,CampsitePermit,Senior,Less than 30ft,06/30/2014,07/01/2014,1,1
