Park,State,Country,Adult,Children,partySize,Booking type,RateType,Equipment,BookingStartDate,BookingEnddate,Camper Nights,Permit
Whycocomagh,FL ,USA ,2,3,5,CampsitePermit,Full,Less than 30ft,06/15/2015,06/17/2015,2,1
Five Islands,NY ,USA ,1,,1,CampsitePermit,Full,Single Tent,07/01/2015,07/02/2015,1,1
Blomidon,AB ,CANADA ,2,,2,CampsitePermit,Full,Tents,06/29/2015,06/30/2015,1,1
Mira River,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,07/02/2015,07/04/2015,2,1
Dollar Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 40ft,06/12/2015,06/14/2015,2,1
Mira River,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/28/2015,08/30/2015,2,1
Amherst Shore,NS ,CANADA ,4,,4,CampsitePermit,Full,Less than 40ft,08/28/2015,08/30/2015,2,1
Graves Island,NS ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,07/03/2015,07/05/2015,2,1
Laurie,NS ,CANADA ,5,,5,CampsitePermit,Full,Single Tent,07/20/2015,07/23/2015,3,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 40ft,07/20/2015,07/24/2015,4,1
Caribou Munroes,NS ,CANADA ,3,1,4,CampsitePermit,Full,Less than 20ft,06/26/2015,07/01/2015,5,1
Porters Lake,GERMANY ,OTHER,2,,2,CampsitePermit,Full,Less than 20ft,09/15/2015,09/16/2015,1,1
Whycocomagh,NS ,CANADA ,2,2,4,CampsitePermit,Full,Yurts,10/16/2015,10/18/2015,2,1
Battery,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,09/04/2015,09/07/2015,3,1
Dollar Lake,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,08/25/2015,08/28/2015,3,1
Whycocomagh,NS ,CANADA ,3,,3,CampsitePermit,Full,Tents,08/09/2015,08/10/2015,1,1
Mira River,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,07/17/2015,07/19/2015,2,1
Rissers Beach,NS ,CANADA ,1,1,2,CampsitePermit,Full,Single Tent,09/18/2015,09/20/2015,2,1
Rissers Beach,NS ,CANADA ,1,3,4,CampsitePermit,Full,Less than 30ft,06/26/2015,06/28/2015,2,1
Five Islands,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,08/13/2015,08/15/2015,2,1
Rissers Beach,MB ,CANADA ,3,,3,CampsitePermit,Full,Single Tent,07/27/2015,07/31/2015,4,1
Caribou Munroes,BC ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,09/21/2015,09/23/2015,2,1
Valleyview,QC ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/18/2015,07/19/2015,1,1
Rissers Beach,NS ,CANADA ,5,,5,CampsitePermit,Full,Tents,07/31/2015,08/03/2015,3,1
Porters Lake,NS ,CANADA ,5,,5,CampsitePermit,Full,Single Tent,08/13/2015,08/14/2015,1,1
Laurie,NS ,CANADA ,2,4,6,CampsitePermit,Full,Less than 30ft,08/20/2015,08/23/2015,3,1
Battery,GERMANY ,OTHER,2,,2,CampsitePermit,Full,Less than 20ft,07/23/2015,07/24/2015,1,1
Five Islands,NB ,CANADA ,3,,3,CampsitePermit,Full,Single Tent,08/15/2015,08/16/2015,1,1
Amherst Shore,NS ,CANADA ,4,,4,CampsitePermit,Full,Single Tent,08/28/2015,08/30/2015,2,1
Rissers Beach,PE ,CANADA ,2,,2,CampsitePermit,Full,Tents,08/29/2015,08/30/2015,1,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 40ft,08/09/2015,08/14/2015,5,1
Rissers Beach,NS ,CANADA ,2,4,6,CampsitePermit,Full,Less than 20ft,08/17/2015,08/20/2015,3,1
Caribou Munroes,TN ,USA ,2,,2,CampsitePermit,Senior,Less than 30ft,06/26/2015,06/28/2015,2,1
Blomidon,NS ,CANADA ,4,,4,CampsitePermit,Full,Less than 20ft,07/03/2015,07/05/2015,2,1
Thomas Raddall,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,07/16/2015,07/19/2015,3,1
Mira River,FL ,USA ,2,,2,CampsitePermit,Full,Less than 30ft,07/19/2015,07/22/2015,3,1
Amherst Shore,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,08/02/2015,08/03/2015,1,1
Thomas Raddall,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 30ft,09/18/2015,09/21/2015,3,1
Caribou Munroes,QC ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,08/11/2015,08/12/2015,1,1
Rissers Beach,NS ,CANADA ,6,,6,CampsitePermit,Full,Tents,08/21/2015,08/22/2015,1,1
Laurie,NS ,CANADA ,2,2,4,CampsitePermit,Full,Tents,08/29/2015,08/31/2015,2,1
The Islands,ON ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,08/08/2015,08/09/2015,1,1
Five Islands,IL ,USA ,2,,2,CampsitePermit,Senior,Single Tent,08/25/2015,08/26/2015,1,1
Dollar Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/31/2015,08/03/2015,3,1
Ellenwood Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,08/21/2015,08/23/2015,2,1
Laurie,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,08/21/2015,08/23/2015,2,1
Thomas Raddall,NS ,CANADA ,2,3,5,CampsitePermit,Full,Less than 20ft,07/18/2015,07/21/2015,3,1
Thomas Raddall,ON ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,07/13/2015,07/14/2015,1,1
Blomidon,GERMANY ,OTHER,2,,2,CampsitePermit,Senior,Less than 30ft,05/30/2015,05/31/2015,1,1
Valleyview,NS ,CANADA ,4,,4,CampsitePermit,Full,Tents,06/27/2015,06/28/2015,1,1
Rissers Beach,NH ,USA ,2,,2,CampsitePermit,Full,Single Tent,07/05/2015,07/09/2015,4,1
Mira River,QC ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/29/2015,08/01/2015,3,1
Whycocomagh,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/21/2015,07/22/2015,1,1
Blomidon,GERMANY ,OTHER,2,,2,CampsitePermit,Full,Single Tent,08/20/2015,08/21/2015,1,1
Rissers Beach,MA ,USA ,7,,7,CampsitePermit,Full,Single Tent,06/12/2015,06/13/2015,1,1
Thomas Raddall,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,07/30/2015,08/01/2015,2,1
